이름,분류,위도,경도,평점,지역,설명,구글지도
"디 암니스(THE AMNIS) — 구 실크스 클럽","숙소",22.61062,120.3055,"부킹 9.3 · 597","산둬","1실 195.4만 / 2실 229.8만. 애하 강변 럭셔리 컬렉션. 스물여섯 곳 중 부킹 점수가 가장 높습니다","https://www.google.com/maps/search/?api=1&query=22.61062,120.3055"
"호텔 닛코 가오슝(日航酒店)","숙소",22.61001,120.30561,"부킹 9.2 · 1,152","산둬","2실 243.6만. 일본계 5성. 산둬상권 한복판이라 백화점·MRT가 다 걸어서 닿습니다","https://www.google.com/maps/search/?api=1&query=22.61001,120.30561"
"카인드니스 호텔 주밍관(康橋 覺民館)","숙소",22.64001,120.33641,"부킹 9.1 · 4,398","싼민","1·2실 82.4만 · 조식 포함. 무료 간식·야식으로 유명한 체인. 후기 4,400건에 9.1은 이 값에서 보기 드뭅니다","https://www.google.com/maps/search/?api=1&query=22.64001,120.33641"
"인터컨티넨탈 가오슝(洲際酒店)","숙소",22.61095,120.30333,"부킹 9.1 · 959","산둬","1실 224.2만 / 2실 384.9만. 가장 새 5성. 4인 1실이 되는 프리미엄 퀸룸이 있습니다","https://www.google.com/maps/search/?api=1&query=22.61095,120.30333"
"가오슝 메리어트(萬豪酒店)","숙소",22.65493,120.30542,"부킹 9.1 · 2,888","구산","1실 102.2만 / 2실은 스위트만 430.3만. 패밀리 게스트룸이 4인 1실 중 두 번째로 쌉니다. 대신 쭤잉 쪽이라 도심에서 멉니다","https://www.google.com/maps/search/?api=1&query=22.65493,120.30542"
"타이 어반 리조트(承億酒店)","숙소",22.6093,120.3023,"부킹 9.1 · 1,160","산둬","1실 190.4만 · 조식 포함. 디자인 호텔. 옥상 수영장이 있고 산둬상권 도보권입니다","https://www.google.com/maps/search/?api=1&query=22.6093,120.3023"
"파포아 하버 호텔(播寶後宮所)","숙소",22.62047,120.28034,"부킹 9.1 · 1,062","옌청","1실 97.8만 / 2실 186.7만. 복층 쿼드러플룸이 있는 항구변 부티크. 보얼예술특구 도보권","https://www.google.com/maps/search/?api=1&query=22.62047,120.28034"
"레전드 호텔 가오슝 피어2(麗馨旅店 駁二館)","숙소",22.62198,120.28655,"부킹 9.0 · 4,360","옌청","1·2실 54.0만 · 조식 포함. 보얼예술특구 바로 앞. 후기 4,360건에 9.0이고 값은 절반 이하입니다","https://www.google.com/maps/search/?api=1&query=22.62198,120.28655"
"허브 호텔 이신점(八里香舍 一心館)","숙소",22.61039,120.31236,"부킹 9.0 · 3,083","첸전","1실 48.0만 / 2실 48.8만 · 조식 포함. 스물여섯 곳 중 두 번째로 쌉니다. 패밀리룸이 조식까지 포함입니다","https://www.google.com/maps/search/?api=1&query=22.61039,120.31236"
"스타하우스 호텔(喜達絲飯店)","숙소",22.62015,120.29549,"부킹 9.0 · 545","첸진","1·2실 222.8만 · 조식 포함. 애하 근처 신축. 후기 수는 적지만 평이 고르게 좋습니다","https://www.google.com/maps/search/?api=1&query=22.62015,120.29549"
