이름,분류,위도,경도,평점,지역,설명,구글지도
"청씨 푸젠 볶음면 루이펑 본점(曾氏福建炒麵)","맛집",22.66609,120.30003,"★ 4.9 · 7,527","루이펑","한국 여행기에 자주 나오는 곳. 푸젠식 볶음면 한 그릇이 야시장 물가입니다. 평점 4.9에 후기 7,500건은 가오슝 통틀어 최상위입니다","https://www.google.com/maps/search/?api=1&query=22.66609,120.30003"
"산터우취안청 미술관점(汕頭泉成)","맛집",22.6512546,120.2858332,"★ 4.8 · 9,431","미술관","본점이 붐빌 때 대안. 평점은 여기가 더 높습니다","https://www.google.com/maps/search/?api=1&query=22.6512546,120.2858332"
"칭무탕 링야점(青木堂) — 일식","맛집",22.622788,120.3177723,"★ 4.8 · 8,390","링야","현지인 평이 아주 좋은 일식집. 노포 웨이팅이 부담스러운 날의 대안","https://www.google.com/maps/search/?api=1&query=22.622788,120.3177723"
"밍수이란 산둬점(明水然・樂)","맛집",22.6144461,120.3067782,"★ 4.8 · 3,988","산둬","백화점 상권 안이라 4인 자리 잡기 쉽습니다. 쇼핑 날 저녁으로","https://www.google.com/maps/search/?api=1&query=22.6144461,120.3067782"
"저이샤오궈(這一小鍋) — 1인 훠궈","맛집",22.6144169,120.306338,"★ 4.8 · 1,534","산둬","1인 1냄비라 매운맛을 각자 고를 수 있습니다. 훠궈가 처음인 동행이 있으면 여기","https://www.google.com/maps/search/?api=1&query=22.6144169,120.306338"
"Handelaars (치진 카페바)","맛집",22.6121254,120.2666889,"★ 4.8 · 1,004","치진","치진에서 평점이 가장 높은 집. 바다 보며 쉬어가기","https://www.google.com/maps/search/?api=1&query=22.6121254,120.2666889"
"산터우취안청 사차훠궈 중산총점(汕頭泉成)","맛집",22.6319059,120.3012799,"★ 4.7 · 19,864","메이리다오","가오슝에서 후기가 가장 많은 식당입니다(약 2만 건). 사차(沙茶) 소스 훠궈가 이 도시의 상징. 4인이면 저녁 예약을 권합니다","https://www.google.com/maps/search/?api=1&query=22.6319059,120.3012799"
"저우스번푸 브런치(周氏本舖)","맛집",22.6272673,120.3099755,"★ 4.7 · 1,356","링야","늦은 아침용. 오후 3시에 닫으니 오전에 가세요","https://www.google.com/maps/search/?api=1&query=22.6272673,120.3099755"
"천사 지파이(天使雞排)","맛집",22.66588,120.29924,"★ 4.7 · 6,952","루이펑","얼굴만 한 대만식 닭튀김. 야시장에서 줄이 가장 긴 집 중 하나입니다","https://www.google.com/maps/search/?api=1&query=22.66588,120.29924"
"뉴왕러후시 우육면(牛忘了呼吸)","맛집",22.6266688,120.2926706,"★ 4.6 · 1,559","첸진","노포 우육면과 결이 다른 신식. 국물이 진합니다","https://www.google.com/maps/search/?api=1&query=22.6266688,120.2926706"
"리우제 판투안(六姐) — 주먹밥","맛집",22.6243588,120.2844255,"★ 4.5 · 1,217","옌청푸","대만식 주먹밥. 아침에 하나 들고 걸으면서 먹기 좋습니다","https://www.google.com/maps/search/?api=1&query=22.6243588,120.2844255"
"라오정싱 총유빙(老正興館金牌蔥油餅)","맛집",22.63095,120.28891,"★ 4.5 · 1,632","옌청","파를 넣고 부친 대만식 전병. 갓 부친 걸 그 자리에서 먹는 게 제맛입니다","https://www.google.com/maps/search/?api=1&query=22.63095,120.28891"
"옌청 왕지 더우화(王記豆花)","맛집",22.62539,120.28229,"★ 4.5 · 1,256","옌청","손으로 만드는 더우화(두부 푸딩). 옌청 노포 골목 한복판입니다","https://www.google.com/maps/search/?api=1&query=22.62539,120.28229"
"베이강차이 통자미가오(北港蔡)","맛집",22.6319185,120.2850047,"★ 4.4 · 6,308","옌청푸","대나무 통에 찐 찹쌀밥. 야로우전과 함께 옌청푸 아침의 양대산맥입니다","https://www.google.com/maps/search/?api=1&query=22.6319185,120.2850047"
"뉘즈 자오쯔(女子餃子)","맛집",22.62595,120.28182,"★ 4.4 · 1,486","옌청","만두 전문점. 보얼예술특구를 보고 걸어 내려오면 바로입니다","https://www.google.com/maps/search/?api=1&query=22.62595,120.28182"
"야로우전 오리고기(鴨肉珍)","맛집",22.6249317,120.2811655,"★ 4.3 · 11,601","옌청푸","오리고기 + 미가오(찹쌀밥). 가오슝 노포의 대표","https://www.google.com/maps/search/?api=1&query=22.6249317,120.2811655"
"단단 햄버거 시쯔완점(丹丹漢堡)","맛집",22.6223566,120.2733317,"★ 4.3 · 7,261","하마싱","남부 대만에만 있는 체인. 햄버거에 몐셴(麵線)이 딸려 나오는 조합이 가오슝다운 경험입니다","https://www.google.com/maps/search/?api=1&query=22.6223566,120.2733317"
"치허우하이찬(旗后海產) — 치진 해산물","맛집",22.6120193,120.2677697,"★ 4.3 · 2,227","치진","치진에서 후기가 가장 많은 해산물집. 주문 전에 총액을 반드시 물어보세요","https://www.google.com/maps/search/?api=1&query=22.6120193,120.2677697"
"리자 위안짜이탕(李家圓仔湯)","맛집",22.6246,120.28185,"★ 4.3 · 1,881","옌청","대만식 새알심 단팥탕. 저녁 먹고 후식으로 들르기 좋습니다","https://www.google.com/maps/search/?api=1&query=22.6246,120.28185"
"하이즈빙 빙수(渡船頭海之冰)","맛집",22.6199,120.27106,"★ 4.3","시쯔완","한국 여행기 단골. 대야만 한 그릇에 나오는 빙수라 넷이 하나 시켜 나눠 먹는 집입니다","https://www.google.com/maps/search/?api=1&query=22.6199,120.27106"
"루이펑 야시장(瑞豐夜市)","맛집",22.6660714,120.2996278,"★ 4.2 · 38,135","아레나","현지인 비중이 훨씬 높고 규모도 큼. 월·수 휴무라 토요일이 딱","https://www.google.com/maps/search/?api=1&query=22.6660714,120.2996278"
"강위안 우육면(港園牛肉麵)","맛집",22.6210904,120.2877845,"★ 4.2 · 9,754","옌청푸","가오슝 우육면 하면 나오는 이름. 점심에 줄이 김","https://www.google.com/maps/search/?api=1&query=22.6210904,120.2877845"
"싱룽쥐 아침만두(興隆居)","맛집",22.6303772,120.2936811,"★ 4.2 · 9,015","첸진","아침 만두·두유. 오전에만 열고 줄이 길어 일찍 가야 함","https://www.google.com/maps/search/?api=1&query=22.6303772,120.2936811"
"딩왕 마라훠궈(鼎王麻辣鍋)","맛집",22.662707,120.306742,"★ 4.2 · 2,228","산둬","대만 대표 마라훠궈 체인. 4인이면 예약이 안전합니다","https://www.google.com/maps/search/?api=1&query=22.662707,120.306742"
"정라오파이 파파야 우유(鄭老牌木瓜牛奶)","맛집",22.63274,120.3015,"★ 4.2 · 856","리우허","한국 여행기 단골. 가오슝의 상징 음료인 파파야 우유를 파는 노포입니다","https://www.google.com/maps/search/?api=1&query=22.63274,120.3015"
"아진 치에짜이몐(阿進切仔麵)","맛집",22.62484,120.28262,"★ 4.2 · 3,682","옌청","옌청 골목의 국수 노포. 후기 3,682건이면 현지에서 검증이 끝난 집입니다","https://www.google.com/maps/search/?api=1&query=22.62484,120.28262"
"싼뉴 우육면(三牛牛肉麵)","맛집",22.6782066,120.2927427,"★ 4.1 · 8,043","쭤잉","현지인이 채우는 우육면집. 용호탑 보고 걸어가기 좋습니다","https://www.google.com/maps/search/?api=1&query=22.6782066,120.2927427"
"동펀왕(冬粉王) — 당면국·족발","맛집",22.6271961,120.2829129,"★ 4.1 · 4,842","옌청푸","강위안·야로우전과 한 구역이라 옌청푸 점심 코스로 묶기 좋습니다","https://www.google.com/maps/search/?api=1&query=22.6271961,120.2829129"
"아차이 지쓰몐(阿財雞絲麵) — 닭국수","맛집",22.6295732,120.2835225,"★ 4.1 · 2,959","옌청푸","야식으로도 열려 있는 편입니다","https://www.google.com/maps/search/?api=1&query=22.6295732,120.2835225"
"화다 밀크티(樺達奶茶)","맛집",22.6236461,120.2858037,"★ 4.1 · 1,000","옌청푸","가오슝 밀크티의 대명사. 줄이 길지만 회전이 빠릅니다. 테이크아웃 전용","https://www.google.com/maps/search/?api=1&query=22.6236461,120.2858037"
"추이위안 딤섬(翠園) — 한라이 10층","맛집",22.6194866,120.2966016,"★ 4.1 · 877","산둬","호텔 딤섬. 웨이팅 없이 4인이 앉을 수 있습니다","https://www.google.com/maps/search/?api=1&query=22.6194866,120.2966016"
"라오장 홍차우유 본점(老江紅茶牛奶) — 24시간","맛집",22.6311182,120.300211,"★ 4.0 · 7,093","메이리다오","홍차우유와 토스트. 야시장 후 마무리나 이른 아침에","https://www.google.com/maps/search/?api=1&query=22.6311182,120.300211"
"리우허 야시장(六合夜市)","맛집",22.6320758,120.2991547,"★ 3.8 · 40,593","메이리다오","접근성 최고. 관광객 비중이 높지만 첫날 저녁으로는 최적","https://www.google.com/maps/search/?api=1&query=22.6320758,120.2991547"
