이름,분류,위도,경도,평점,지역,가는 법,설명,구글지도
"가오슝 대중음악센터(高雄流行音樂中心)","명소",22.6174409,120.2884249,"★ 4.7 · 6,428","옌청푸","경전철 음악센터역","항구변 조형 건축. 밤 조명이 좋아 저녁 동선에 넣기 좋음","https://www.google.com/maps/search/?api=1&query=22.6174409,120.2884249"
"불광산 불타기념관(佛光山)","명소",22.7549492,120.447387,"★ 4.6 · 39,591","다수","쭤잉역에서 E02 버스 40분","동양 최대급 불교 성지. 대불과 박물관 규모가 압도적. 반나절 이상 필요","https://www.google.com/maps/search/?api=1&query=22.7549492,120.447387"
"치진 등대(旗後燈塔)","명소",22.6155918,120.2650699,"★ 4.6 · 5,302","치진","치진 페리 → 도보 15분 오르막","흰 등대에서 항구가 한눈에 들어옵니다. 치허우 포대와 한 언덕이라 같이 올라가세요","https://www.google.com/maps/search/?api=1&query=22.6155918,120.2650699"
"가오슝 시립도서관","명소",22.6104438,120.3017989,"★ 4.6 · 4,930","첸전","MRT 산둬상권역 도보 10분","기둥 없이 매달린 구조의 도서관. 야간 조명이 특히 예쁨","https://www.google.com/maps/search/?api=1&query=22.6104438,120.3017989"
"대항교(다강차오)","명소",22.6178831,120.2838745,"★ 4.6 · 4,242","옌청푸","경전철 다이한차오역","아시아 최초 수평 회전교. 개폐 시간을 맞춰 가야 볼거리가 됨","https://www.google.com/maps/search/?api=1&query=22.6178831,120.2838745"
"알리엔 아트센터(金馬賓館)","명소",22.6275814,120.2788598,"★ 4.6 · 2,064","구산","MRT 하마싱역(Hamasen) 도보 10분","옛 군인 숙소를 고친 미술관. 2층 카페가 이 건물의 백미라 카페 목록에도 넣어 뒀습니다","https://www.google.com/maps/search/?api=1&query=22.6275814,120.2788598"
"싼펑궁(三鳳宮) — Sunfong Temple","명소",22.6360043,120.2940987,"★ 4.6","싼민","가오슝역 도보권 · 리우허 야시장에서 가깝습니다","실제 여행기 두 건에 연달아 나온 큰 도교 사원. 밤에 조명이 들어와 리우허 야시장 가는 길에 들르는 코스로 자주 묶입니다","https://www.google.com/maps/search/?api=1&query=22.6360043,120.2940987"
"가오슝시립미술관","명소",22.6566968,120.2865511,"★ 4.5 · 11,502","미술관","경전철 미술관역","공원 안의 큰 미술관. 실내라 비 오는 날 대안으로 좋습니다","https://www.google.com/maps/search/?api=1&query=22.6566968,120.2865511"
"소우산 연인 전망대(壽山情人觀景台)","명소",22.6254253,120.2741481,"★ 4.5 · 8,616","구산","MRT 옌청푸역에서 택시 10분","가오슝 야경 1순위. 항구와 85빌딩이 한 화면에 들어옵니다. 해 지기 30분 전에 올라가세요","https://www.google.com/maps/search/?api=1&query=22.6254253,120.2741481"
"치허우 포대(旗後砲台)","명소",22.613027,120.2641059,"★ 4.5 · 3,162","치진","등대와 같은 언덕","청나라 때 포대 터. 등대 가는 길에 붙어 있어 묶어서 봅니다","https://www.google.com/maps/search/?api=1&query=22.613027,120.2641059"
"보얼예술특구(駁二藝術特區)","명소",22.6199803,120.2815287,"★ 4.4 · 71,747","옌청푸","MRT 옌청푸역 1번 출구 도보 6분","항만 창고를 개조한 문화예술구. 소품샵·포토존이 넓게 퍼져 있어 경전철로 구간 이동","https://www.google.com/maps/search/?api=1&query=22.6199803,120.2815287"
